id,transaction_id,account_id,amount,date,description,category,merchant_name,merchant_typ,user_modified,user_modified_fields,date_temp
1502,txn_p9pu5fkuq9aferpfv400a,acc_p9opotuud3tio7hht4000,20.37,2023-06-12,"Harris Teeter #494 Cary Nc",general,"HARRIS TEETER",organization,,,
1503,txn_p9pu5fkuq9aferpfv400b,acc_p9opotuud3tio7hht4000,17.0,2023-06-12,"Holly Spring Mart Holly Springs Nc",general,"HOLLY SPRING MART",organization,,,
1504,txn_p9pu5fkuq9aferpfv400c,acc_p9opotuud3tio7hht4000,9.58,2023-06-12,"Target 00027219 Morrisville Nc",office,TARGET,organization,,,
1505,txn_p9pu5fkuq9aferpfv400d,acc_p9opotuud3tio7hht4000,5.49,2023-06-12,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1506,txn_p9pu5fkuq9aferpfv400e,acc_p9opotuud3tio7hht4000,2.88,2023-06-12,"Bp#8597080han-dee Hqps Cary Nc",fuel,BP,organization,,,
1507,txn_p9pu5fkuq9aferpfv400f,acc_p9opotuud3tio7hht4000,53.94,2023-06-12,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1508,txn_p9pu5fkuq9aferpfv400g,acc_p9opotuud3tio7hht4000,5.13,2023-06-12,"Sheetz 0600 00006007 Morrisville Nc",dining,SHEETZ,organization,,,
1509,txn_p9pu5fkuq9aferpfv400h,acc_p9opotuud3tio7hht4000,2.17,2023-06-12,"Taco Bell 003421 Cary Nc",dining,"TACO BELL",organization,,,
1510,txn_p9pu5fkva9aferpfv4000,acc_p9opotuud3tio7hht4000,2.49,2023-06-12,"Shell Oil 12816233006 Cary Nc",fuel,SHELL,organization,,,
1511,txn_p9pu5fkva9aferpfv4001,acc_p9opotuud3tio7hht4000,7.37,2023-06-12,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1512,txn_p9pu5fkva9aferpfv4002,acc_p9opotuud3tio7hht4000,1.32,2023-06-12,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
1513,txn_p9pu5fkva9aferpfv4003,acc_p9opotuud3tio7hht4000,8.01,2023-06-09,"Wholefds Car 10132 Cary Nc",groceries,"WHOLE FOODS",organization,,,
1514,txn_p9pu5fkva9aferpfv4004,acc_p9opotuud3tio7hht4000,5.49,2023-06-09,"Lowe''s Foods #190 Cary Nc",groceries,"LOWE'S FOODS",organization,,,
